sentence,label
looks like we need to buy bread.,shopping
why don't we go and grab some cheese?,shopping
poland is a boring country.,not-shopping
the snake was in the bushes.,not-shopping
"Hey, I'm making a shopping list for the week. Do you have any specific items you need?",shopping
"A gentle breeze whispered through the trees, carrying with it the scent of pine and earth.",not-shopping
"Shadows danced playfully, weaving intricate patterns upon the ground.",not-shopping
I'm thinking we should grab some fresh veggies and fruits for salads. How about you?,shopping
where are my lemons? i think i forgot them at the market.,shopping
"Oh, we definitely need batteries for the TV remote. It's been acting up lately.",shopping
Let's add a few to the list.,shopping
"Alright, I think we've got everything we need. Let's head to the checkout.",not-shopping
"Milk, eggs, and bread are essentials. We should make sure to grab those.",shopping
Chocolate sounds like a good idea. Maybe we can treat ourselves to a bar.,shopping
I'll check the pantry to see if we need any spices or sauces.,shopping
"She walked along the moonlit path, her footsteps echoing in the stillness of the night.",not-shopping
"The stars shimmered above like scattered diamonds, casting a soft glow upon the world below.",not-shopping
"In the distance, a lone owl hooted, breaking the silence with its haunting call.",not-shopping
"The rustle of leaves added to the symphony of nature, a soothing melody that enveloped her senses.",not-shopping
"She paused, taking a moment to drink in the beauty surrounding her, feeling a sense of peace wash over her.",not-shopping
Time seemed to stand still as she lost herself in the tranquility of the night.,not-shopping
"With a contented sigh, she continued her journey, guided by the gentle light of the moon.",not-shopping
"Each step brought her closer to her destination, yet she cherished the journey itself, knowing that sometimes, the path was just as important as the destination.",not-shopping
That's a good call. Let's stick to the list and not get carried away with impulse buys.,shopping
Agreed. It feels good to be organized and have everything sorted for the week.,shopping
We can't forget toothpaste and toothbrushes.,shopping
Let's also find some snacks for the kids.,shopping
I love the feeling of warm sand between my toes.,not-shopping
"The ocean roared in the distance, a soothing lullaby that calmed the senses.",not-shopping
Have we check if we need new socks and underwear?,shopping
It would be nice to make a nutritious dinner using fresh ingredients.,shopping
Do you think they have any discounts on fitness equipment?,shopping
"As far as the eye could see, rolling hills and dense forests stretched, a patchwork quilt of greens, browns, and blues.",not-shopping
"Suddenly, the air crackled with electricity, followed by a low growl that echoed through the landscape.",not-shopping
"The lightning illuminated the sky, casting eerie shadows across the ground, while the thunder shook the earth beneath.",not-shopping
Let's not forget the shampoo and conditioner.,shopping
Any specific breakfast ideas for the week?,shopping
Should we buy paper towels and tissues too?,shopping
"The world was a vast and beautiful place, a testament to the power of nature.",not-shopping
"With every passing moment, she grew more appreciative of her surroundings.",not-shopping
"The sun dipped below the horizon, giving way to the brilliant colors of twilight.",not-shopping
"Eventually, the moon took over, casting the landscape in a soft, silver glow.",not-shopping
Be sure to check out the deli counter for any interesting options.,shopping
I think we need a new frying pan from the kitchenware section.,shopping
It's also worth looking at the appliances deals while we are at it.,shopping
"She took a deep breath, reveling in the fragrance of the world around her.",not-shopping
"Her lungs filled with the scents of various flowers, dewdrops on leaves, and the cool, crisp air.",not-shopping
"Dusk fell gently, adding a sense of stillness to the surroundings.",not-shopping
"The scent of blooming jasmine was carried on the breeze, mingling with the fragrances of the night.",not-shopping
Have we looked at the baking aisle for flour and sugar?,shopping
Don't forget to compare prices for the best deals on canned goods.,shopping
We might as well check if there are any new books or magazines.,shopping
"Pick up some hangers, they're always handy to have extras.",shopping
"The night sky was breathtaking, a canopy of stars that went on for infinity.",not-shopping
"In the distance, a fire crackled softly, casting flickering shadows on the surrounding trees.",not-shopping
"A gentle breeze tickled her skin, leaving a cooling sensation in its wake.",not-shopping
"To the side, a babbling creek could be heard, gurgling along its winding journey.",not-shopping
Make sure to double-check the date on all the dairy products.,shopping
I wonder if they have any seasonal fruits and vegetables.,shopping
Don't forget to scan the toy section for gifts we might need.,shopping
"Silence had descended, but it was an extraordinary kind of quiet, the type that only happened when nature took center stage.",not-shopping
"Crickets had begun their symphony of chirps, a melody that seemed to beckon the night's end.",not-shopping
"A gentle fog had risen, giving the world around her an ethereal glow.",not-shopping
"Foxes could be heard somewhere yipping and howling, their calls echoing through the woods.",not-shopping
It might be wise to grab a refill on bottled water as well.,shopping
Do we need any notebooks and pens for the upcoming month's schedule?,shopping
There's always a need for batteries in the household.,shopping
Her heart swelled with appreciation for this enchanting piece of solitude she stumbled upon.,not-shopping
"The landscape was alive, teeming with life and energy.",not-shopping
"At the edge of the forest, the silhouette of a majestic stag appeared, taking in the night's bounty.",not-shopping
"And then, just like that, the sun started to emerge, igniting the landscape with a subtle glow.",not-shopping
"As the darkness receded, the noises of the forest gradually died down.",not-shopping
Do we need to refill the pet's food and treats?,shopping
Any unusual cereals the kids would enjoy on the weekends?,shopping
Maybe we need some birthday gifts for the family party?,shopping
"Feeling refreshed from listening to the calming whispers of the night, she made her way home with a heart overflowing with gratitude.",not-shopping
Don't forget the laundry detergent.,shopping
Grab some disinfecting wipes for good measure.,shopping
Leaves rustled underneath her boots as she strolled along the path.,not-shopping
"Her thoughts danced like fireflies, sparkling and elusive.",not-shopping
"A raccoon rummaged through a nearby bin, scavenging for scraps.",not-shopping
