sentence,label
We're low on hand soap.,1
Have you checked if they have any deals on cleaning supplies?,1
" Since we have enough canned goods, can we remove some from the list?",1
" There's no need for juice, as we already have some in the fridge.",1
Get me a new video game.,1
Let's grab some fresh flowers to brighten up the living room.,1
Do we need more snacks for the week?,1
This reminds me of that old movie.,1
"We're almost out of dish soap, add that to the list.",1
Have we checked for kitchen utensils?,1
 Soggy crackers need to be removed.,1
Do we need new sponges or scouring pads?,1
Don't forget to grab some snacks for the movie tonight.,1
" Leave out lettuce, greens wilting quick.",1
" No need for vinegar, we have apple cider vinegar.",1
Have we looked for any new board games or puzzles?,1
Should we get a new vacuum cleaner?,1
What about a new laptop stand for our home office?,1
Do we need any new kitchen utensils or gadgets?,1
Grab a new video game.,1
Have we checked the prices of the pasta sauce?,1
"Grab a few lottery tickets, maybe we'll get lucky.",1
Have you checked if we need more toothpaste and toothbrushes?,1
Should we get some snacks for the kids' lunches?,1
Do you think we can try the new sushi place for lunch?,1
Do we have enough school supplies for the kids?,1
We might need some new sports equipment for the garage.,1
We need more cheese.,1
Have we checked for any new video games or consoles?,1
See if they have any good magazines.,1
Let's not forget the snacks for the movie night.,1
" AVocados galore, tone it down.",1
Have we checked if we need more sunscreen?,1
 Broken eggs should be discarded.,1
 Forget the frozen meals.,1
Let's check out the electronics section for any deals.,1
" Take lemonade off the list, we already have some.",1
And some new grip tape.,1
 Missing ingredients list can be removed.,1
Let's see if there are any sales on shaving supplies.,1
" We can remove cheese from the list, we still have some in the fridge.",1
" Ignore tea, drinking coffee.",1
"Maybe some new shoes, mine are getting worn out.",1
" We don't need to buy more cleaning supplies, let's take them off the list.",1
" Too many tortillas, eliminate.",1
Buy some new running shoes.,1
"Let's check if there are any baby toys, we expect a visitor soon.",1
" Too many carrots, cut down the quantity.",1
" Too many bananas, cut down the quantity.",1
Have we looked for any new home decorations?,1
"We need more conditioner, any preference?'",1
How about some new pens and highlighters?,1
Don't forget to get detergent.,1
 Torn bag of chips can be removed.,1
Can we get some new socks for the winter?,1
Let's see if there are any good deals on cereal.,1
"Let's check out the home goods sale, I need new blankets.",1
Get a new umbrella for rainy days.,1
It's always good to have extra lightbulbs on hand.,1
Have we checked if we need more dish soap?,1
Take note of natural supplements that will fit our tight budgets.,1
Let's not forget to get some coffee filters.,1
Don't forget to buy detergent.,1
 Overripe bananas should be removed.,1
"Pick up some new pens, please.",1
Grab some new collars or leashes.,1
 Leaky juice containers should be discarded.,1
Can you check if they have any good sales on jeans?,1
" Remove bread, bought at bakery.",1
 Overripe bananas don't need to be on the list.,1
" Let's take medications and first aid supplies off the list, we have enough.",1
" There's no need for baking powder, we have an unopened box.",1
Pick up some more aloe vera for sunburns.,1
Do we need any more cleaning supplies?,1
"I need to restock my makeup, I'm almost out.",1
" No need for dip, we have hummus.",1
And some new towels for the bathroom.,1
" Eliminate tomato juice, we already have enough.",1
"I'm craving these cookies, let's get a pack.",1
Do we need another carton of milk?,1
" The sale on pasta has ended, shall we take it off the list?",1
"We need more garbage bags, let's not forget.",1
Do we have enough eggs?,1
Have we checked if there are any new books released?,1
Does this shop carry new camp grills or machines?,1
" Remove soda, received as a gift.",1
Pick up some scented candles for a spa night.,1
We need some gardening gloves and tools. ,1
"I'll pick up some milk and eggs, we're almost out.",1
" No need for salsa, we have pico de gallo.",1
Have we looked for any new video games?,1
" Eliminate potatoes, bought at lunch.",1
Have we run out of pet food?,1
I want to buy a new video game.,1
"We need a new hairbrush, the bristles on ours are falling out.",1
What about some comfortable sandals?,1
 We have plenty of canned vegetables. Let's remove some from the list.,1
" No need for pickles, got a jar from grandma.",1
" Let's not buy salad dressing, we can make our own.",1
" Since we have enough ice cream, can we remove some from the list?",1
Runs out of oatmeal. Raining cats and dogs.,1
We should pick up some pasta for dinner tonight.,1
Don't forget to grab some snacks.,1
Have we looked for any new phone cases or screen protectors?,1
And a new hat.,1
 We don't need to buy more yogurt.,1
" We don't need to buy more milk, let's remove it from the list.",1
" Let's take coffee and tea off the list, we have enough at home.",1
We should check if they have any new kitchen utensils.,1
 Separate Cheese packets – merge or remove.,1
Check for new cleaning supplies.,1
" Scrap nuts, allergic issues.",1
Let's get some fresh fruits and vegetables for the week.,1
"We need bread, pasta, and rice, let's stock up.",1
Maybe some new coasters for the coffee table.,1
Can you remind me what's left on the shopping list?,1
Pick up some cheese for the sandwiches.,1
"I need a new pair of sunglasses, any recommendations?",1
Let's not forget to grab some extra storage bags for the pantry.,1
" Let's not buy canned vegetables, we have fresh ones.",1
"Get some aloe vera, I got sunburnt.",1
And a new umbrella.,1
"I need a new laptop, any recommendations?",1
Water bottles or wine tumblers may give her the relaxing afternoons she's been needing.,1
Don't forget to check the price of diapers and baby wipes.,1
We need more makeup remover and toner.,1
" We have enough nuts, let's remove it from the list.",1
" We have plenty of fresh produce, so we can take it off the list.",1
We need more juice and soda.,1
Let's see if they have any new video games.,1
Don't forget to grab some almond milk.,1
Maybe some new pet beds too.,1
 Expired yogurt needs to be deleted from the list.,1
Looking forward to my weekly grocery run.,1
 Stale bread should be removed from the list.,1
" Ditch soda, choosing water today.",1
 Remove excess baking supplies.,1
Buy the big bottle of Tequila.,1
And a new vase for the flowers.,1
Let's try that new bakery everyone's been talking about.,1
" We have enough snacks, so we can cross them off the list.",1
" Extra bread, we don't need more.",1
" Let's take breadcrumbs and stuffing off the list, we have enough.",1
 Let's remove the repeated snacks.,1
Grab some paper towels.,1
" We can take the seasonal item off the list, as it's not in season anymore.",1
Can you check if they have that new video game?,1
Don't forget to grab new skateboarding shoes.,1
We need more butter for baking.,1
 Uncheck the damaged bread at the store.,1
" We can scratch off frozen vegetables from the list, as we have enough.",1
We need more milk and eggs.,1
Let's pick up some extra notebooks and pens.,1
" Strike the extra yogurt, we have sufficient.",1
Let's find a nice tablecloth for the dining table.,1
" Since we have enough canned fruits and juices, we can remove it from the list.",1
"Don't forget to check the label on that sweater, to make sure it's machine washable.",1
Pick up some aluminum foil and plastic wrap.,1
 Surplus noodle pack - streamline.,1
Get some more bottled water; we're almost out.,1
The jeans are now on sale! Get them too.,1
 Scale back the selected seafood.,1
" Eject lamb, not in mood for it.",1
" Superfluous peppers, remove two.",1
We need more laundry detergent and fabric softener.,1
We should get some new sponges for cleaning.,1
" we already have toothpaste, cross it off.",1
We should check if we have enough cleaning supplies.,1
" Since we have enough snack foods, we can remove it from the list.",1
"I'm going to get some new socks, mine all have holes.",1
I think we need more vitamins.,1
" Let go of condiments, have enough at home.",1
 Get rid of the excess jam.,1
" No need for canned fruit, we have dried fruit.",1
Have the kids outgrown any clothing recently?,1
Need some orange juice for breakfast.,1
How about we get a new sofa for the living room?,1
" Too many apples, reduce to a dozen.",1
Can we grab some more coffee filters?,1
"skip celery, just used some.",1
" Since we have enough international foods, we can remove it from the list.",1
Get the cash register ready so we can start packing out the groceries.,1
Make sure to pick up some shampoo and conditioner for home.,1
" No need for milk, we bought it yesterday.",1
Make sure to get cat food and cat litter.,1
I think we're almost out of cereal.,1
" No need for more tea, we have enough for a while.",1
Let's get some new jeans.,1
"Found a huge sale at the local sports store, skates for me, yay.",1
"Pick up a new laptop, mine is slow.",1
Grab some new home decor items.,1
" There's no need for more chips, we have a fresh bag.",1
Let's not forget the shampoo and conditioner.,1
Let's not forget to pick up some aluminum foil.,1
" Too many apples, reduce the number.",1
" Broke the dish, so no more breakables.",1
" We have enough lettuce, exclude from list.",1
"We don't have one, but we should get a cheese grater. ",1
